ELM,Phenotype,Effect,SE,Pvalue,FDR,log2FC
ELM_14_3_3,Naive_High,-0.014187885909778625,0.025605778006576176,0.5795177780476585,0.9998849800444911,-0.02046879264273602
ELM_14_3_3,Naive_Low,0.0,0.0,,,0.0
ELM_14_3_3,CM_High,-0.04397462028491891,0.026312561786222356,0.09467417335252183,0.9998849800444911,-0.06344196661002773
ELM_14_3_3,CM_Low,-0.052596940857265816,0.02757447699843644,0.056462317822215814,0.9998849800444911,-0.0758813457407075
ELM_14_3_3,EM_High,0.007912174240209574,0.026618056782906536,0.7662768886801623,0.9998849800444911,0.011414854538999755
ELM_14_3_3,EM_Low,-0.027449496981062256,0.024404193182745487,0.26067969109065137,0.9998849800444911,-0.03960125316947509
ANK,Naive_High,-0.007660920606135433,0.10962219945327346,0.944285386810035,0.9998849800444911,-0.011052372167115661
ANK,Naive_Low,0.0,0.0,,,0.0
ANK,CM_High,0.0037727798749477835,0.1158546875063945,0.9740216738671618,0.9998849800444911,0.0054429708159528505
ANK,CM_Low,-0.005382841642728125,0.11885070565237334,0.9638755331725696,0.9998849800444911,-0.007765798943854468
ANK,EM_High,-0.00178259106519223,0.11455954140636926,0.9875851065935723,0.9998849800444911,-0.002571735289685805
ANK,EM_Low,0.0011907054291768683,0.10671146468512628,0.991097247448028,0.9998849800444911,0.0017178248178330328
APCC,Naive_High,-0.0007613051551261964,0.07189264116615068,0.9915509811985039,0.9998849800444911,-0.0010983311719037665
APCC,Naive_Low,0.0,0.0,,,0.0
APCC,CM_High,-0.0038429605954720223,0.07198256080571037,0.9574232572041523,0.9998849800444911,-0.005544220193419184
APCC,CM_Low,-0.0004591393946908538,0.07559468722166168,0.9951539189407922,0.9998849800444911,-0.0006623981277972552
APCC,EM_High,-0.005782060929367923,0.0723601936253179,0.9363114979144346,0.9998849800444911,-0.008341750628916934
APCC,EM_Low,-0.00745488491661115,0.06752356775384344,0.9120888289805307,0.9998849800444911,-0.01075512549959284
Actin,Naive_High,0.008833587383357447,0.08536837541125893,0.9175851093555785,0.9998849800444911,0.012744172711229103
Actin,Naive_Low,0.0,0.0,,,0.0
Actin,CM_High,0.006660965235227969,0.08669166640557244,0.9387547056802998,0.9998849800444911,0.009609741512397178
Actin,CM_Low,0.0010491419934509822,0.09043931587594205,0.9907443414840144,0.9998849800444911,0.0015135919511400934
Actin,EM_High,-0.002034484569075861,0.08575498871926937,0.9810724531909393,0.9998849800444911,-0.0029351407985708645
