CCD,Naive_High,Naive_Low,CM_High,CM_Low,EM_High,EM_Low
OR3A4P-1,-2.8024032678700594,-2.3825206678765056,0.6393828353665406,-2.968054030750022,-2.627668854418562,1.837125645812835
OR2B2-1,-1.6655166583969094,0.9968963528617673,-1.387590092372473,0.5447288405119461,0.5257105413488354,-0.3150814656242582
OR4K15-1,1.4705319827045908,-1.4738115625755814,0.2099567447916495,-0.5794563132612005,-0.17852441683539766,-1.2067082512635416
OR2M2-1,-0.11082670461491495,0.7501916640603927,-1.2016260566536756,-0.921000577806022,-0.12713001467757268,0.38761221688428515
OR6B3-1,-0.8821072874005034,-0.5319284360222718,-0.36616504043341536,0.19669485491498984,-0.6007406424758539,1.0250560478043242
OR4N4-1,-0.20273311395630111,0.13655316109751792,-0.48125854341020946,0.7993623992960137,-0.3820929121470573,-0.04532680575753267
OR2T12-1,-0.09809981814869118,0.16731879860807664,-0.7191625628792815,0.16828712347916897,-0.5767843037442884,0.47996036242963347
OR2F1-1,-0.1772687942469522,0.14207882827334672,-0.1807237678399929,0.7179253795926996,-0.26283122282064664,-0.23382325323918618
OR2AJ1-1,-0.24034829946269487,0.06858238212273249,0.7053404121271926,-0.5768123846067974,-0.29701273307824305,-0.11134750213761735
OR5T2-1,-0.2573956368289303,0.03807293520833599,0.39004636898232325,0.012441291170788293,-0.7036919407666575,0.13735867331583074
OR4D6-1,0.026902341798773488,-0.07982662024775711,-0.6521852474562659,-0.25583672390704004,-0.377135393286822,0.6397857138960704
OR4P4-1,-0.5988920674625071,-0.054232248188600396,0.05114530252563765,0.37714737366961715,0.13045229398615654,0.07550855645406318
OR4A15-1,-0.5791239863436506,-0.06789765388176816,-0.24002257747794276,0.5858823017177792,-0.0014079356892806594,0.1842680135721252
OR51F2-1,0.20028187696690813,0.2627837974881164,0.22073861212049306,-0.3504523488251152,-0.5439047625317937,-0.1262105012799457
OR4A16-1,-0.1637062308757673,-0.03163532956949844,0.539828291707577,-0.31285212784503713,0.23879102798554674,-0.35349438675303557
OR4M2B-2,0.3197928698103827,0.5276229658645499,-0.38646121996308924,0.09681869721911873,-0.3987814936936527,-0.36261772134893566
OR2T33-1,-0.04443664397582281,0.19760979463574868,-0.19651393214190138,0.4331048791013563,-0.5083558185051253,-0.015582448105960323
OR5P2-1,-0.3610198344899844,0.051203562817756954,0.1261253062887142,-0.5056258315865603,0.008300549060343165,0.3216834487893232
OR4D9-1,0.22805575817922374,0.3604109278372454,-0.4751694705831151,-0.45231409926458577,-0.34553053577854476,0.19049608346870106
OR4K2-1,-0.15018307749753523,-0.25425273376185387,0.07418859114754173,-0.12741882263017423,0.4710707795039597,-0.03499825012567692
OR5K3-2,0.00312698410505563,0.10241101522192708,-0.4701925968590581,0.09586864691504027,-0.2323270269646982,0.26777981458737665
OR51E2-1,0.1953149520030848,0.050149179354890494,-0.09135739661947051,-0.45047386699521974,-0.16148621939624364,0.15349721404201278
OR2AT4-1,-0.015828336778993757,0.10628178968634527,0.2953615135601606,0.1689212716083428,-0.43536404256868244,-0.1987112392910635
OR6A2-1,0.34212519570219957,0.2009242633260091,-0.41946318492588097,-0.26995922306825504,-0.05540470668295905,-0.021448451886994402
OR4C5-1,-0.2056104741117637,0.16298026250588693,0.41913847762841305,0.03068327342679744,-0.1521882614305532,-0.27128589108854917
OR4C15-1,0.221623617888991,0.1140059240329594,-0.41606795209449166,-0.3961902433444946,-0.25259997054767847,0.29131892302451035
OR4K5-1,0.1120954089041084,0.08498498562334089,0.4130676210065063,-0.2702746722462126,-0.35056105697356,-0.1992670918814865
OR5V1-1,-0.09235032273851496,0.1685307348018621,0.03246256719769258,-0.06672979334995333,-0.3912305226894033,0.14723527461281238
OR4E2-1,-0.1285514440836979,-0.08268852052000875,0.36825111126030574,-0.021282167274332853,-0.1378938006214847,-0.06290484731872681
OR2W1-1,-0.00660563121894131,-0.36111588193323607,0.28106260108697856,0.09494758065937181,0.13925529815135307,-0.1405056128415807
OR5K4-1,-0.35452299956743527,-0.05218607658861818,0.26812268015511953,0.018241397395243553,0.04914226536716715,0.03419334415013742
OR4N4C-2,-0.15073521074295249,-0.009999432775191996,0.34678793036306943,-0.06799679515028689,-0.13458815290910242,-0.053633236123254324
OR2T1-1,-0.1034913851477326,0.250150905634533,0.08647733174911743,0.3419881638740079,-0.23640284156161195,-0.2847162900800799
OR2G6-1,-0.07555942902703228,-0.008794937860915564,0.23881938571836447,-0.113475074097519,0.3191302850562112,-0.2931932673458453
OR6C6-2,-0.19943507942637484,0.11018458651610463,0.31872399895132153,0.05559351936850776,-0.05221975111895638,-0.20171897354450108
OR4S2-1,-0.022004833501819032,0.11907944013974237,0.12304656369954148,0.31599523698931775,-0.24760100731081391,-0.24259729937743613
OR2F2-1,-0.0355008288534453,0.005597693071615062,0.17113200324570155,0.30822939181559006,-0.01271171149600514,-0.3157961965930076
OR2H1-1,0.027696796751909503,-0.14563265368844314,0.0035242491218068217,-0.3110774165792267,0.16982731747386426,0.11591190635627124
OR2T4-1,-0.2965817023037407,0.10953632043211803,0.20723912357896435,-0.03246127363555651,-0.28604427864703497,0.1337317405630778
OR2T11-1,-0.039030401382812885,-0.24337635414999848,0.2937193202232502,0.07567326399718621,0.15518536589496001,-0.19638088765214712
OR4K3-1,-0.25430967158777973,-0.00045880606687420666,0.12988431297688052,-0.2726742303963392,-0.05050818341951446,0.2374837040478508
OR2K2-3,0.11614316103737887,0.2121081198092407,0.08764012500687435,-0.03608397171394495,-0.2381167522949399,-0.18532376955978402
ACKR1-1,0.043096076500527714,0.09139347470347525,0.05576329097298638,0.2272260929723764,-0.16032125540923858,-0.20129903231579682
OR5H14-2,-0.0885760222553782,0.02897366402228463,0.20472854415757857,0.15880719019068956,0.014095947332109393,-0.22565336377906942
OR5H15-2,-0.11310691305088016,0.22085141640278927,-0.04359114012016785,0.20640210079424137,-0.05307740006609207,-0.1458637827999123
OR5H2-2,-0.024016792573466894,0.08919181785953922,0.08062242758882454,0.15836403294627788,-0.004993041636615514,-0.20604699439825436
OR2C3-1,0.022585150826155198,0.03774305029434566,0.2018114712910697,0.020354791654266347,-0.12644129790583802,-0.15044014468738265
OR4D5-1,-0.023059210457841983,0.16182331079044188,0.18463346453298968,0.0003885509741672344,-0.14136544302153875,-0.1761078901047457
OR5G3-2,-0.053676814856554955,0.0714232367887373,-0.09414093674558965,0.09907092510936155,-0.14122420730266838,0.0771709397739977
OR5K2-1,-0.052098930471919935,0.09961072023406459,0.023686574801903504,0.0738778910328679,-0.06275521781503723,-0.05599440481058271
