motif,contrast,EM_coef,CM_coef,logFC,se,zscore,pvalue,Naive_coef,Low_coef,High_coef,qvalue
14-3-3,EM_vs_CM,-0.2472384236314236,-0.2995583633069068,0.052319939675483235,0.13623060304738735,0.38405423234663305,0.7009382522911203,,,,0.9396301944164035
APCC,EM_vs_CM,-0.21105656577706775,-0.030009084174530645,-0.18104748160253709,0.18058737978874934,-1.0025478071298557,0.3160790890966101,,,,0.9396301944164035
Arc,EM_vs_CM,0.07724585562974828,0.1498474682981521,-0.07260161266840381,0.15247045170717977,-0.4761684107018687,0.6339544025643107,,,,0.9396301944164035
BIR,EM_vs_CM,-0.00371739230317944,0.04794167175676908,-0.05165906405994852,0.1482641024989348,-0.34842597222965466,0.7275203000623581,,,,0.9396301944164035
CYCLIN,EM_vs_CM,0.19705052208386808,0.23346457539188892,-0.03641405330802083,0.1524153925626635,-0.23891322717323116,0.8111728687301769,,,,0.9396301944164035
Clathr,EM_vs_CM,-1.842996932603648,-1.8122797809753581,-0.030717151628289807,0.37116118278424004,-0.08275960163147238,0.9340426921135594,,,,0.9396301944164035
FHA,EM_vs_CM,-0.15720461789184803,-0.13329181169083493,-0.023912806201013104,0.15528714061452661,-0.15399089780635794,0.8776169124797468,,,,0.9396301944164035
LIR,EM_vs_CM,-0.38171477992918224,-0.46594218756926564,0.08422740764008341,0.16328305984576333,0.515836778901892,0.6059684126410144,,,,0.9396301944164035
LYPXL,EM_vs_CM,0.4682115204122134,0.3828640742177364,0.08534744619447704,0.2256639823885188,0.3782058851001616,0.7052776539316594,,,,0.9396301944164035
MAPK,EM_vs_CM,0.06441851409589061,0.07682732025563321,-0.012408806159742602,0.1638457862190662,-0.07573466761697305,0.9396301944164035,,,,0.9396301944164035
MYND,EM_vs_CM,-1.1278690568901384,-0.8601274636239471,-0.2677415932661913,0.26962505742443865,-0.9930145062323252,0.32070288521817825,,,,0.9396301944164035
NRP,EM_vs_CM,-0.038511304971861116,-0.1817450071607179,0.14323370218885678,0.2806752758633473,0.5103182022295157,0.6098285525729967,,,,0.9396301944164035
PDZ,EM_vs_CM,-1.068723003798674,-1.2006485955760517,0.13192559177737784,0.33587229578089645,0.3927849764168654,0.6944783018019393,,,,0.9396301944164035
PP1,EM_vs_CM,-0.8826230421239606,-0.8386176089025295,-0.044005433221431134,0.204443635584322,-0.2152448184344739,0.8295764496850732,,,,0.9396301944164035
PP2A,EM_vs_CM,0.6007683639740365,0.45804136819238794,0.1427269957816486,0.29260843804888265,0.4877747092098721,0.6257094271698519,,,,0.9396301944164035
PP4,EM_vs_CM,-0.19548451794559774,-0.07408731063945254,-0.1213972073061452,0.2612400773957302,-0.4646959552161324,0.642149205334209,,,,0.9396301944164035
Pex14,EM_vs_CM,-0.07037859699322357,-0.10699735848818748,0.0366187614949639,0.19991735375870598,0.18316949882780864,0.854665025863494,,,,0.9396301944164035
SH2,EM_vs_CM,0.007931314277399126,0.08865742644106678,-0.08072611216366765,0.16823853335820732,-0.47983128806638237,0.6313473630501967,,,,0.9396301944164035
SH3,EM_vs_CM,-0.9219992626720805,-0.6907412785332406,-0.2312579841388399,0.18359288548549144,-1.2596238875341128,0.20780507407984994,,,,0.9396301944164035
SUMO,EM_vs_CM,0.2927283166678569,0.3146711824848627,-0.021942865817005774,0.21405301292368697,-0.10251136163558103,0.9183507950780876,,,,0.9396301944164035
TYR,EM_vs_CM,0.40033145325760666,0.29679590544685674,0.10353554781074992,0.19286152690107675,0.536838785186305,0.5913789781690966,,,,0.9396301944164035
USP7,EM_vs_CM,-0.8628686540690289,-1.0508942213663235,0.18802556729729458,0.1715335126487473,1.0961447963950834,0.27301541338861524,,,,0.9396301944164035
WD40,EM_vs_CM,-0.16654271333790843,-0.12243505849138758,-0.04410765484652085,0.13244708896668028,-0.3330209458783727,0.7391184722079693,,,,0.9396301944164035
WW,EM_vs_CM,0.6779655881799009,0.4779761298671573,0.19998945831274362,0.20193624083574468,0.9903594198102134,0.32199847280992555,,,,0.9396301944164035
14-3-3,Naive_vs_CM,,-0.2995583633069068,0.10005602210631762,0.13623007901173861,0.7344635107911524,0.46266629129469916,-0.1995023412005892,,,0.994298898141264
APCC,Naive_vs_CM,,-0.030009084174530645,-0.037625500748502905,0.1805875536038988,-0.2083504648998722,0.8349553308113811,-0.06763458492303355,,,0.994298898141264
Arc,Naive_vs_CM,,0.1498474682981521,0.013074193927410827,0.15247068974483846,0.08574889999704631,0.9316660286743013,0.16292166222556292,,,0.994298898141264
BIR,Naive_vs_CM,,0.04794167175676908,-0.059710272082291876,0.14826424440826202,-0.40272873827807754,0.6871477900731462,-0.011768600325522793,,,0.994298898141264
CYCLIN,Naive_vs_CM,,0.23346457539188892,-0.032445985039243674,0.15241387029397704,-0.2128807895020421,0.8314199467035511,0.20101859035264524,,,0.994298898141264
Clathr,Naive_vs_CM,,-1.8122797809753581,-0.023756982757425105,0.3711553097061471,-0.06400819855233676,0.948963698696052,-1.8360367637327832,,,0.994298898141264
FHA,Naive_vs_CM,,-0.13329181169083493,0.08096298020979564,0.1552869561588543,0.5213765676942803,0.6021044716387378,-0.052328831481039284,,,0.994298898141264
LIR,Naive_vs_CM,,-0.46594218756926564,0.17623216202204994,0.1632824490589946,1.0793086644503755,0.28045015166885967,-0.2897100255472157,,,0.994298898141264
LYPXL,Naive_vs_CM,,0.3828640742177364,0.12248644986603796,0.22566302870860647,0.5427847466507326,0.5872780165976664,0.5053505240837743,,,0.994298898141264
MAPK,Naive_vs_CM,,0.07682732025563321,-0.003704331414145723,0.16384633924589875,-0.02260856990272028,0.9819625077821839,0.07312298884148749,,,0.994298898141264
MYND,Naive_vs_CM,,-0.8601274636239471,-0.15437053612443097,0.26962361133147383,-0.5725408667368106,0.5669556079196428,-1.014497999748378,,,0.994298898141264
NRP,Naive_vs_CM,,-0.1817450071607179,0.021710329986785626,0.28067357003414317,0.07735081712234117,0.9383444657477162,-0.16003467717393227,,,0.994298898141264
PDZ,Naive_vs_CM,,-1.2006485955760517,-0.32186963726941764,0.33588328080691293,-0.9582782343204774,0.3379224762337594,-1.5225182328454694,,,0.994298898141264
PP1,Naive_vs_CM,,-0.8386176089025295,-0.03404373658801396,0.2044437386803964,-0.16651885163005156,0.8677486488225932,-0.8726613454905434,,,0.994298898141264
PP2A,Naive_vs_CM,,0.45804136819238794,-0.11971791523355235,0.2926074785108191,-0.40914167964140336,0.6824356906037534,0.3383234529588356,,,0.994298898141264
PP4,Naive_vs_CM,,-0.07408731063945254,0.20581494039438397,0.26124017424097523,0.7878380153143464,0.4307914616088123,0.13172762975493144,,,0.994298898141264
Pex14,Naive_vs_CM,,-0.10699735848818748,-0.06524406352151113,0.1999170636728781,-0.32635565130282834,0.7441552873213639,-0.1722414220096986,,,0.994298898141264
SH2,Naive_vs_CM,,0.08865742644106678,-0.1878832184977557,0.16823800241933856,-1.1167703835988898,0.2640925150016017,-0.09922579205668891,,,0.994298898141264
SH3,Naive_vs_CM,,-0.6907412785332406,-0.04150183969935428,0.18359081553864437,-0.2260561868391422,0.82115772038276,-0.7322431182325949,,,0.994298898141264
SUMO,Naive_vs_CM,,0.3146711824848627,-0.0015294874687143967,0.21405406940439095,-0.007145332359110113,0.994298898141264,0.3131416950161483,,,0.994298898141264
TYR,Naive_vs_CM,,0.29679590544685674,-0.1084116377805956,0.19286203786926887,-0.5621201506440692,0.5740341600318575,0.18838426766626115,,,0.994298898141264
USP7,Naive_vs_CM,,-1.0508942213663235,0.2642747489007429,0.17153290218330708,1.5406650592218631,0.1233983248639646,-0.7866194724655806,,,0.994298898141264
WD40,Naive_vs_CM,,-0.12243505849138758,-0.02503109408922044,0.1324471422228225,-0.18898931052139553,0.850101194789036,-0.14746615258060802,,,0.994298898141264
WW,Naive_vs_CM,,0.4779761298671573,0.16782525524292857,0.20193590757155555,0.831081788579181,0.40592742695616857,0.6458013851100859,,,0.994298898141264
14-3-3,Naive_vs_EM,-0.2472384236314236,,0.04773608243083438,0.13622868241724362,0.3504113934290832,0.7260299770578906,-0.1995023412005892,,,0.9850383826145578
APCC,Naive_vs_EM,-0.21105656577706775,,0.14342198085403418,0.1805865963817604,0.7942005870183181,0.42707866683918716,-0.06763458492303355,,,0.9850383826145578
Arc,Naive_vs_EM,0.07724585562974828,,0.08567580659581464,0.15246974347946307,0.5619200546982933,0.5741704892018157,0.16292166222556292,,,0.9850383826145578
BIR,Naive_vs_EM,-0.00371739230317944,,-0.008051208022343354,0.1482630134815752,-0.05430355038172677,0.956693320933667,-0.011768600325522793,,,0.9850383826145578
