CCD,total_counts,g_statistic,df,pvalue,Naive_High_prop,Naive_Low_prop,CM_High_prop,CM_Low_prop,EM_High_prop,EM_Low_prop,Naive_High_effect,Naive_Low_effect,CM_High_effect,CM_Low_effect,EM_High_effect,EM_Low_effect,Naive_High_se,Naive_Low_se,CM_High_se,CM_Low_se,EM_High_se,EM_Low_se,qvalue,Naive_High_pip,Naive_Low_pip,CM_High_pip,CM_Low_pip,EM_High_pip,EM_Low_pip,max_pip,Naive_High_ci_excludes_zero,Naive_Low_ci_excludes_zero,CM_High_ci_excludes_zero,CM_Low_ci_excludes_zero,EM_High_ci_excludes_zero,EM_Low_ci_excludes_zero,significant_pip
BFAR-2,150819,2036.886042919229,5,0.0,0.14923186070720532,0.16452834191978463,0.15964168970753023,0.1543240573137337,0.10990657675757033,0.2623674735941758,-0.24547030092268818,-0.07607571274957703,-0.05508946022500161,0.08620186042366962,0.11537132362990166,0.16389602163831052,0.0076344610163610275,0.007383037759503325,0.007479048126030476,0.007627997739295742,0.00882790462036586,0.006273035095198953,0.0,1.0,1.0,0.999999999999798,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
CD47-1,85444,10260.364380597939,5,0.0,0.17462899676981414,0.19973315855999252,0.18024671129628764,0.049564627124198304,0.09317213613594869,0.30265437011375873,-0.0326959882988167,0.18300040505097925,0.10504554131888177,-1.2321509706217948,-0.08873947262624515,0.36989040710181675,0.009328137865063197,0.008901063828683676,0.009241938317504087,0.015971659067730522,0.0121634809612251,0.007763791067849392,0.0,0.9997898467247802,1.0,1.0,1.0,0.9999999999997914,1.0,1.0,True,True,True,True,True,True,True
CLDN3-1,41170,2317.548997332273,5,0.0,0.19628370172455673,0.16623755161525383,0.12615982511537527,0.10002428953121205,0.09589506922516396,0.31539956278843817,0.11697637440352526,-0.05656424133217408,-0.3328120166240238,-0.43253083520840074,-0.05277332658341649,0.41725103648642736,0.012633024891649,0.013452816360373833,0.015041177644622615,0.016626218390284622,0.017008123890168477,0.010821676420429058,0.0,1.0,0.9999901589162943,1.0,1.0,0.9995642059094081,1.0,1.0,True,True,True,True,True,True,True
CLDN4-1,181937,4113.782454425107,5,0.0,0.1683055123476808,0.16305094620665395,0.18545980201938034,0.11294019358349319,0.12365818937324459,0.24658535646954716,-0.08738280675663646,-0.09074746957448454,0.15623428174067966,-0.32734948535165276,0.2788427523110111,0.07064015916750122,0.006750050005548889,0.006834915260073283,0.006574445206565451,0.007885193041273893,0.007837416070048798,0.005898780843636992,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
GNRHR2-2,2551,443.0298316211323,5,1.5656698239811264e-93,0.10466483731869855,0.13680909447275577,0.22108976871814975,0.08428067424539397,0.07369658957271658,0.3794590356722854,-0.6247866285618251,-0.28478547578787894,0.35380717973418885,-0.6099208429299978,-0.3392326986386718,0.6869179447333977,0.0647192422024312,0.057663006528489436,0.04777122481276583,0.07131407914898252,0.07583655933839917,0.04085599327045959,2.0549416439752285e-93,1.0,0.9999999159666537,0.9999999999999747,1.0,0.9999994159882275,1.0,1.0,True,True,True,True,True,True,True
GPR32P1-1,8319,7257.897261975854,5,0.0,0.06947950474816685,0.05457386705132829,0.1367952878951797,0.5228993869455464,0.0914773410265657,0.12477461233321313,-1.0770042546626377,-1.299829498427968,-0.231258227172354,1.8888529905282845,-0.10377376105269143,-0.7749449389246761,0.043182531967090106,0.04832552641898322,0.03199653294147037,0.022100246079356272,0.03814780556666705,0.033244313403663864,0.0,1.0,1.0,0.9999999999998664,1.0,0.9994050498117826,1.0,1.0,True,True,True,True,True,True,True
GPR82-2,44485,3002.3036610342297,5,0.0,0.13988985051140834,0.17963358435427673,0.21524109250309093,0.08099359334607172,0.10911543216814656,0.27512644711700573,-0.30329910918923964,0.04041126424629149,0.3317642274842849,-0.6711060348320166,0.09635518247013852,0.2164655452146511,0.0138715691307388,0.01258185222988145,0.011794148761404824,0.01756701737723456,0.015505788756826242,0.010831891772752445,0.0,1.0,0.9995827948012543,1.0,1.0,0.999999999756413,1.0,1.0,True,True,True,True,True,True,True
GRIA1-2,460,13.276109334742955,5,0.02092424274767696,0.1956521739130435,0.18043478260869567,0.17173913043478262,0.15869565217391304,0.12391304347826088,0.16956521739130434,0.10902799960144827,0.04440296489495288,0.03899052661340674,0.10870792487406922,0.23682575358080027,-0.4117133439145908,0.11755527241422795,0.12126939250239696,0.12364730528895872,0.12762858750045888,0.14154180773691044,0.12426884047195261,0.023126794615853482,0.9949029551593341,0.9929481159999545,0.9929622956324935,0.9949707799876547,0.9983407526435193,0.9999661491115817,0.9999661491115817,False,False,False,False,True,True,True
GRIA3-2,6725,2751.7962707659563,5,0.0,0.24892193308550187,0.3754646840148699,0.039107806691449816,0.10066914498141263,0.04342007434944238,0.19241635687732342,0.42087455516839745,1.0565286928246107,-1.5941515572219767,-0.41509796373199626,-0.9032251077365752,-0.25854403540666326,0.02829870215131956,0.02529314682885053,0.06295076175539459,0.04060688427526604,0.05990792729312038,0.031006064937007374,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
LMBR1-1,16,4.171633596501757,5,0.5249789952544813,0.0625,0.125,0.125,0.125,0.1875,0.375,-1.1853803984647808,-0.38812348198344004,-0.3335863921095332,-0.1692804520449429,0.7262907998819836,0.6663172273603788,1.0327981859120734,0.7559326175521845,0.7559327520757033,0.7559332085762854,0.6405195084076926,0.5164020684314933,0.5512279450172054,0.9990004655123871,0.9985523024502572,0.9985225179218379,0.9984579896124789,0.9988694082181131,0.9989201209320131,0.9990004655123871,False,False,False,False,False,False,True
