CCD,Naive_High,Naive_Low,CM_High,CM_Low,EM_High,EM_Low
PSEN2-2,-2.682376645154082,4.758247682065102,-3.701257332384743,-3.5369419407155007,-2.7129945563234887,-3.7285543404190378
MS4A1-2,-2.0948681011743853,3.4896319275150294,-2.0052087848112325,-1.7647009838390675,-1.920675517833872,-2.2932132241416943
GPR32P1-1,-1.0770042546626377,-1.299829498427968,-0.231258227172354,1.8888529905282845,-0.10377376105269143,-0.7749449389246761
GRIA3-2,0.42087455516839745,1.0565286928246107,-1.5941515572219767,-0.41509796373199626,-0.9032251077365752,-0.25854403540666326
MS4A2-2,-1.4335561494284081,-0.6175190737910938,-0.5569358038772725,1.0080411031318999,0.6261448321107894,0.1177159240853447
CD47-1,-0.0326959882988167,0.18300040505097925,0.10504554131888177,-1.2321509706217948,-0.08873947262624515,0.36989040710181675
LMBR1-1,-1.1853803984647808,-0.38812348198344004,-0.3335863921095332,-0.1692804520449429,0.7262907998819836,0.6663172273603788
ORMDL3-1,-0.29754184689706675,0.45236151873511066,0.13622674682317837,-0.8030742115904537,0.1741167522322784,0.02940860777237231
GNRHR2-2,-0.6247866285618251,-0.28478547578787894,0.35380717973418885,-0.6099208429299978,-0.3392326986386718,0.6869179447333977
GPR82-2,-0.30329910918923964,0.04041126424629149,0.3317642274842849,-0.6711060348320166,0.09635518247013852,0.2164655452146511
PTCH1-2,-0.1207580354287825,-0.2689739563582332,0.0558527442186556,0.6024726745917348,-0.035904611728851954,-0.2559920622994285
NPC1-2,0.390289382161326,0.03975317430399694,-0.3156962837214732,0.1856902614491247,-0.5825058451403144,-0.015115114616468306
PKD1-3,0.09749621495835048,-0.5568614265269507,-0.000807427383377135,-0.000841999890630607,-0.13048016565917386,0.3225888855960166
NPY6R-1,-0.33161317741500174,0.3436390505983766,-0.5476523763524519,0.07540554586240988,0.3116022696176439,0.0683331716322082
STRA6-2,-0.12199095904391632,-0.034366621601483294,0.2441389997056609,0.13204525076967322,0.41782600073065446,-0.48555445152982646
CLDN3-1,0.11697637440352526,-0.05656424133217408,-0.3328120166240238,-0.43253083520840074,-0.05277332658341649,0.41725103648642736
GRIA1-2,0.10902799960144827,0.04440296489495288,0.03899052661340674,0.10870792487406922,0.23682575358080027,-0.4117133439145908
MPV17L-1,-0.01317282398735431,-0.21804305027917037,0.2838484878053127,0.3416095753584283,0.1608252771149008,-0.4095251939030764
CLDN4-1,-0.08738280675663646,-0.09074746957448454,0.15623428174067966,-0.32734948535165276,0.2788427523110111,0.07064015916750122
LMBR1L-2,-0.10875071345644183,-0.029989308384083646,0.0245543987368535,0.2725937867683623,0.1534693953670665,-0.20918739104145412
BFAR-2,-0.24547030092268818,-0.07607571274957703,-0.05508946022500161,0.08620186042366962,0.11537132362990166,0.16389602163831052
