motif,tsubset,coef,se
FHA,Naive,-1.5753071729658976,0.4126417480134809
LIR,Naive,-1.8284740035144076,0.3559106746392885
SH2,Naive,-1.6861403897880933,0.4720398713124044
SUMO,Naive,1.9300313409943788,0.5094602429181271
USP7,Naive,0.1739617078793963,0.24864789880443297
WD40,Naive,-0.08178265376825138,0.2627081684664582
WW,Naive,-2.0412460917477335,0.40642773816295263
FHA,CM,-0.7631058053440042,0.3984170783905643
LIR,CM,0.031757736925467385,0.34359422354122676
SH2,CM,-0.30069687272723966,0.4558419640299681
SUMO,CM,-0.856863599220173,0.4920596574709002
USP7,CM,-0.13535302617083161,0.24002595273230468
WD40,CM,0.9402013691211519,0.25381225146563496
WW,CM,-0.4760415011389769,0.39241315066395877
FHA,EM,-1.346872909171031,0.5460238736051984
LIR,EM,-0.6606879653962874,0.47087290776261675
SH2,EM,-1.2945501892282065,0.6245898227206809
SUMO,EM,-0.10700758617122313,0.6741568320696553
USP7,EM,-0.11875858815352143,0.3289458073174399
WD40,EM,0.2963500045366753,0.34764710966050255
WW,EM,-1.118538860512251,0.5376844280553957
FHA,High,-1.3594260342224924,0.39748058745546655
LIR,High,-1.1355572670985465,0.3428386246181184
SH2,High,-0.5503989725073476,0.4547081858919593
SUMO,High,0.43688039013610885,0.49077341281490194
USP7,High,0.3652038944004156,0.2395130175969202
WD40,High,0.362761885931471,0.2530948019531236
WW,High,-1.3042005508767953,0.3914639314908394
FHA,Low,-1.2737436998134724,0.3952272452492852
LIR,Low,-0.9538075156622279,0.34081124623899034
SH2,Low,-1.847385573709817,0.4520819226847212
SUMO,Low,0.7380202597600529,0.4879531289437262
USP7,Low,-0.35773693136591606,0.23808078810869
WD40,Low,0.16075001853194085,0.25160813592269415
WW,Low,-1.3221412880704952,0.38918597452653997
