CCD,Naive_High,Naive_Low,CM_High,CM_Low,EM_High,EM_Low
PSEN2-1,-2.8149477796276194,4.174529756201279,-2.327563484105169,-2.1947342298465555,-2.9972292411978674,-2.5976316734324056
MS4A1-2,-2.1943714276908164,3.638712319613978,-1.9337465232173374,-1.497978182273692,-2.1720958600747595,-2.400320875613298
PDCD1-1,-2.6798582111661515,-2.393994963722493,-2.005470789111502,-2.0596459701492678,-2.161798356409947,3.390230692549796
NFAM1-1,-3.227450788347122,2.790889538247586,-2.727879502776922,-2.7516032382761946,-3.1180306585516764,-0.21263756417403368
PIANP-1,-2.7318118025632376,1.7551872562929114,-2.800958755868704,-2.706331787529324,1.6977769461567935,-3.204533150997828
P2RX3-1,-1.2489090758138413,-1.5518628918733177,-1.027117556119823,-1.2844457033417656,2.9699729216476167,-1.6021012795668517
MS4A2-1,1.5255125658900681,-0.5453549141088911,-0.033290246039656024,-1.535139463762985,0.2850355511762974,-2.116935949970192
ITGB5-1,0.29162198839359554,0.5799452104865559,0.21449386116115066,-1.9526562931097682,-0.6271665887911155,-0.10879731706395313
LYVE1-1,-0.48354375323245335,-0.29566877550498716,-1.0014249626113818,1.0844003897030687,-1.6638138028214553,0.5987573478243805
ABCC8-3,-0.12458310150728469,-0.37358454135134456,0.621392254802317,-1.5763130397566556,-0.25600445910645897,0.36474744249704794
MICA-1,-0.8088216327389584,1.3968853692386942,-1.544605878011899,0.24998632063343185,0.4592736322350215,-0.9772026516672352
MS4A2-2,-1.5310389760326473,-0.4652642445762343,-0.4845811456881781,1.270732880221471,0.3721218339981125,0.009833950492679433
ITGB1-1,-0.02151511180770771,-0.4348314647971503,0.33431745604457164,-1.3567265616089998,-1.4443281411704787,0.8005626885781404
MICB-1,-0.7471219141648584,-0.1847124625726808,-0.3721766218634224,1.1983549193400576,-0.35477578939705534,0.029589096950404903
MADCAM1-1,-0.48409955804903126,0.6756364494780758,0.6196044537004537,-1.1892184793692189,-0.1965688928509104,-0.26646672281385886
MS4A1-1,0.15022713144541466,-0.5140890233380249,-0.43003385470516076,1.02048031515833,-0.2937597168373203,-0.22801537084109325
NAT8-1,0.690188844380486,-0.3192248105763622,-0.7937227145928103,-0.9918723062812229,0.4236466369337468,0.002195701565238517
ITGB3-1,-0.9652939561403957,-0.02150086800756612,0.8942173412444601,-0.3172445349139821,-0.3511667115784143,0.10128653151354117
ITGB2-1,-0.17326007607554095,0.36478525209607016,0.3691458068695186,-0.9465693714922003,-0.47421112630325224,0.1397154308692664
NRP1-1,-0.32664428490102204,0.9371161654986004,0.1688901667240319,-0.7898911114148084,-0.18459510182357897,-0.357879513457509
PLA2R1-1,-0.9210271956424481,-0.0668312534543758,0.5965379702202656,0.5479647752071688,-0.4763204755008885,-0.025502634425194515
NRXN3-1,0.1482157545050946,0.37803404728192924,0.22951023659519554,-0.9119984550186868,-0.10437556807266124,-0.2016179282804762
MRC2-1,0.09806690423510656,-0.05536945250323866,-0.27269619094706554,0.11910253519903957,-0.8226084389308435,0.37558239433302554
ITGB6-1,-0.7989838376693075,0.2013952999330464,-0.110703417457503,0.042844818384225825,0.32960390109214677,0.18773140855707893
NPC1-2,0.18773176371703038,0.18391255284692587,-0.17518416036921614,0.4116815554013178,-0.7227560901605543,-0.12085444452827954
NAT8B-1,0.1123692658202462,0.6965504968227705,-0.13007594515702214,-0.3242690615268704,-0.3753186720316499,-0.2833336760476932
PLVAP-1,-0.16092258738724974,0.27784834311129103,0.6732458860623054,-0.40469271385782557,-0.3365785153318295,-0.3331450430777072
MOG-1,-0.43840064240009724,0.26317859323826753,0.1375257904865661,0.6271593067388503,-0.3868177984659089,-0.2251970680847022
MRC1-1,0.24971474388545034,0.6227876940427133,-0.2710769365094374,0.019983537136781138,-0.1863573488347059,-0.5586347147754216
ORMDL3-1,-0.38751223018348036,0.584417605541657,0.20220439960848768,-0.5135783923091228,-0.08531319651108382,-0.07951390105616185
NPC1-3,0.2438141854534197,-0.2069794778519296,0.34852826198432174,0.11445098265822318,-0.5673609919062901,-0.1620416292954996
MPV17L-1,-0.1116893936341905,-0.019589971735453737,0.289123997102243,0.531174190348692,-0.13210974667317688,-0.4359715186498192
ITGB7-1,-0.3319914134549551,0.2599412074387617,0.10552582270669975,0.25384161748709677,-0.5134790051356568,0.0698768906124515
ITGAX-1,0.3168634243698192,-0.03142597341385733,-0.4107924337586075,-0.49832811739305116,-0.06026752593986506,0.2244353561621094
NPY6R-1,-0.41879832568276876,0.4785968618987433,-0.4565879280509979,0.33939171628605846,0.04373740293470285,-0.0425456299232716
P2RX6-1,-0.3169810132751265,-0.08445242144591858,0.45107687520991324,-0.12100935584446315,-0.12564351150141118,0.059259780801227624
MARCO-1,0.3446543717375363,0.0014444184536037685,0.06283920183133329,-0.4502150536045604,0.1292103761061194,-0.24967690395397368
NCR1-1,0.23805895941913868,-0.03204677394152333,0.1414495366616073,-0.3903704812759381,0.19865720677419763,-0.2502627521681542
NRP2-1,-0.20449013169553476,-0.023064723056000602,-0.2635408969727746,0.17580116188302108,-0.2731856775745012,0.3535477245625822
P2RX1-1,0.1122428709997978,-0.020218330216981384,0.013436401108486429,0.15583675588211698,-0.3526466730067128,-0.0007631764868307744
P2RX7-1,0.028764122872137143,-0.10022641676264432,0.1001825359497126,-0.12234336901975329,0.3400134141959279,-0.19941705772978313
ITGAV-1,0.12164723602490435,0.10577438564644881,-0.33658991264029003,-0.09389668138483742,0.26557269506088255,-0.09313539903502877
