motif,Naive,CM,EM,PD1_Low
TRAF2like,0.09999997860422513,0.09999997860422524,0.09999997860422524,0.09999997860422524
Actin,0.0999999786042252,0.09999997860422523,0.09999997860422524,0.09999997860422524
NRBOX,0.09999997860422512,0.09999997860422524,0.09999997860422524,0.09999997860422524
CKS1,0.09999997860422523,0.09999997860422523,0.09999997860422523,0.09999997860422523
IRF7,0.09999997860422523,0.09999997860422523,0.09999997860422523,0.09999997860422523
PP4,0.09999997860422521,0.09999997860422523,0.09999997860422521,0.09999997860422523
PTB,0.09999997860422521,0.09999997860422521,0.09999997860422523,0.09999997860422521
MYND,0.09999997860422523,0.09999997860422523,0.09999997860422523,0.09999997860422523
CDC14,0.09999997860422523,0.09999997860422523,0.09999997860422523,0.09999997860422523
TRFH,,0.09999997860422521,0.09999997860422513,0.09999997860422519
BIR,0.09999997860422521,0.09999997860422521,0.09999997860422519,0.09999997860422519
Integrin,0.09999997860422519,0.09999997860422516,0.0999999786042252,0.09999997860422516
PP1,0.09999997860422503,0.0999999786042251,0.09999997860422519,0.09999997860422515
LYPXL,,0.09999997860422516,0.09999997860422513,0.09999997860422519
deltaCOP1,0.09999997860422517,0.09999997860422508,0.09999997860422515,0.09999997860422515
NRP,0.09999997860422502,0.09999997860422477,0.09999997860422516,0.09999997860422478
CYCLIN,0.09999997860422513,0.09999997860422513,0.0999999786042251,0.09999997860422515
TYR,0.09999997860422491,0.09999997860422513,0.09999997860422513,0.09999997860422513
PCNA,,0.09999997860422512,0.09999997860422513,0.09999997860422513
GBD,,0.09999997860422512,0.09999997860422512,0.0999999786042251
Clathr,,0.09999997860422463,0.09999997860422274,0.09999997860422512
FHA,,0.09999997860422508,,0.09999997860422508
PP2A,,0.09999997860422465,,0.09999997860422506
PP2B,,0.09999997860422506,0.09999997860422491,0.099999978604225
SUMO,0.09999997860422503,0.09999997860422499,0.09999997860422499,0.09999997860422503
14-3-3,,0.09999997860422498,0.099999978604225,0.09999997860422503
PDZ,,0.09999997860422488,0.09999997860422503,0.09999997860422502
USP7,,0.09999997860422498,0.09999997860422502,0.09999997860422485
WD40,,0.09999997860422499,0.09999997860422502,0.09999997860422499
SH2,,0.09999997860422496,0.09999997860422478,0.09999997860422496
TRAF4,,0.09999997860422496,0.09999997860422477,0.09999997860422496
MAPK,,0.09999997860422458,0.09999997860422474,0.09999997860422496
SH3,,0.09999997860422483,0.0999999786042249,0.09999997860422492
UBA3,,0.09999997860422478,0.09999997860422442,0.0999999786042246
Arc,,0.09999997860422477,0.0999999786042244,0.09999997860422458
WW,0.09999997860422269,0.09999997860422383,0.09999997860422477,0.09999997860422388
APCC,,0.0999999786042247,0.09999997860422447,0.09999997860422442
Pex14,,0.0999999786042245,0.0999999786042246,0.09999997860422442
BRCT,,0.0999999786042246,0.09999997860421636,0.09999997860422048
WRC,,0.09999997860422428,,0.09999997860422428
LIR,0.0999994026259938,0.09999942588991821,0.09999923884890902,0.09999929225497187
