motif,Naive,CM,EM,PD1_Low
F_14_3_3,-6.12711569126924,-9.303811987007142,-12.68833224723502,-7.335296554255246
APCC,-2.261009998547358,-0.7734339479018155,-5.296104142813157,-2.674807316835955
Arc,6.910123717962454,2.609232388504253,3.651092318332582,2.5802780132411
BIR,-0.20378311840725688,-0.13859512204001104,-0.9179072173649524,0.837546642352556
CYCLIN,2.631062120046363,4.77318102520857,3.2828094963678764,4.273359853687307
Clathr,-9.618446130637826,-12.199205254476379,-12.633258520576389,-8.62265654612288
FHA,-0.5271119364310886,-1.0498431498197676,-1.1531250968199271,-0.9626433321879695
LIR,-10.038986073338947,-10.664826637101445,-13.22260401544998,-8.295932558296881
LYPXL,8.064128001433122,4.726013276740663,13.551095013740603,6.473267180463657
MAPK,1.796690279095188,0.9679236735457939,3.816188994797012,1.5897948115777163
MYND,-10.932118417285086,-6.998417054142365,-11.240315767488559,-9.993527457173885
NRP,-1.5353954150902114,-2.703720848833329,-1.7836316572391353,-0.47846802983170356
PDZ,-9.683077685497592,-5.871430401774906,-7.851502091869157,-8.739199772018702
PP1,-32.37548199862322,-9.777536619124175,-19.688181249838276,-15.29731872037735
PP2A,7.011064925562004,4.517334428965917,6.5013246545578145,7.872995044098154
PP4,1.2431466629875003,-0.5287689959508588,-1.216695497432083,-1.119930260105713
Pex14,-2.725640030800552,-2.598118753447567,-2.3452915383917023,-5.749312480821022
SH2,-1.072596309122775,-0.05332470707345926,-0.8944028317923903,-1.25197915079518
SH3,-28.67641316256926,-11.720757929512597,-26.948129851178674,-23.226789743658852
SUMO,3.3908123503914673,2.4350538803360817,3.4075507691115114,3.012327162849951
TYR,4.999049577087187,4.575728399402823,6.977206905289359,7.242346711133662
USP7,-11.744217299276205,-16.255235119301865,-22.57771455485554,-16.121437888669963
WD40,-4.084822934607348,-6.439686867123095,-6.077043081249727,-7.16074112690778
WW,8.99708826708878,5.866509596980218,20.14073054962544,11.208542809991332
