ELM_mw,n_with,n_without,u_stat,pvalue,cliff_delta,n_pairs,mean_with,mean_without,median_with,median_without,phenotype,qvalue,sig_stars,ELM_dm,Phenotype,Effect,SE,Pvalue,FDR,log2FC,ELM_raw
MAPK,271,722,3481291.5,0.49215710703580806,-0.011534772549941567,7043832,-3.074168494362936,-1.299460026381497,-4.984988802092932,-5.25854431389045,Naive_High,0.6890199498501314,,MAPK,Naive_High,-0.0613193773952007,0.0297506813852927,0.039292705758142,0.9998849800444912,-0.0884651616784549,MAPK
MSH2,28,965,430493.0,0.011024615424854183,-0.11486758779504894,972720,-6.873643532069325,-1.636111691317985,-8.043157058704253,-5.090619418602018,Naive_High,0.0630637670398418,,MSH2,Naive_High,-0.0093138309591055,0.0814173653902812,0.9089237870870768,0.9998849800444912,-0.0134370177363796,MSH2
MYND,25,968,429607.0,0.773265225747032,-0.013758034894398532,871200,0.7114574923203789,-1.8482399156278992,-5.684725260867083,-5.171239345526821,Naive_High,0.8644105565385074,,MYND,Naive_High,0.0110426237283478,0.0936584974307943,0.9061444662109118,0.9998849800444912,0.0159311384912902,MYND
NRBOX,26,967,397509.0,0.009418848981741256,-0.12163577546204227,905112,-6.441945886743255,-1.6585514043065896,-7.978491345765632,-5.090619418602018,Naive_High,0.057690450013165195,,NRBOX,Naive_High,-0.0030277685943423,0.0790183031416897,0.9694346917848672,0.9998849800444912,-0.0043681467360171,NRBOX
NRP,32,961,568462.0,0.524406195545354,0.02696482252283501,1107072,-3.207830303329407,-1.7363779722302346,-3.6860588583011067,-5.24774662262087,Naive_High,0.7137750994922873,,NRP,Naive_High,-0.0076837858554984,0.0689028865883386,0.9112070455963744,0.9998849800444912,-0.0110853597489804,NRP
PCNA,35,958,556302.0,0.05368092941087017,-0.07826821751665175,1207080,-6.539693292409395,-1.6100423129284636,-7.21393470251569,-5.144097825932677,Naive_High,0.1685578584947607,,PCNA,Naive_High,-0.0111287974279172,0.0664480939189289,0.8669915463288346,0.9998849800444912,-0.016055460860314,PCNA
PDZ,207,786,2938890.0,0.8492149045604936,0.0035012886545135687,5857272,-2.1807283504896384,-1.679260855557814,-5.053180923034301,-5.252276104152408,Naive_High,0.915592546168298,,PDZ,Naive_High,-0.0047761672373597,0.0317659211446664,0.8804844886624487,0.9998849800444912,-0.0068905527877952,PDZ
PP1,77,916,1239926.5,0.40373594335105834,-0.02335385987132712,2539152,-3.5416267136950124,-1.6360311616433194,-5.388666864575264,-5.164452608370523,Naive_High,0.6118472543567586,,PP1,Naive_High,0.0095993878636751,0.0473605866508661,0.8393794762041152,0.9998849800444912,0.0138489892664937,PP1
PP2A,56,937,983235.5,0.20592692940147794,0.041016055123579136,1888992,-2.984483579369124,-1.7120370550428237,-3.9172837532611497,-5.384005401033495,Naive_High,0.399601531364936,,PP2A,Naive_High,-0.0143214364264122,0.0627899403765726,0.8195802492515114,0.9998849800444912,-0.0206614653107914,PP2A
PP2B,32,961,544247.0,0.6919930810313062,-0.016781203029251936,1107072,-4.298510589053052,-1.7000597941416227,-4.2183832785124125,-5.2416342472907855,Naive_High,0.8270161212325366,,PP2B,Naive_High,-0.0112856387649078,0.0820070288057502,0.8905423725589372,0.9998849800444912,-0.0162817350793967,PP2B
PP4,66,927,1106352.5,0.8780167882040119,0.0046096528027488115,2202552,0.5814239481900692,-1.9521939391589445,-4.761652925443367,-5.212470723689766,Naive_High,0.9297038077393421,,PP4,Naive_High,-0.0063648306992503,0.0554880138862655,0.9086778354758837,0.9998849800444912,-0.0091825096859062,PP4
PTB,46,947,778876.0,0.8510696932257045,-0.006682684704814083,1568232,-4.873492548664358,-1.633716096917884,-4.832157150596206,-5.231575376173856,Naive_High,0.915592546168298,,PTB,Naive_High,-0.0075345934930689,0.0627051264412154,0.904357092000718,0.9998849800444912,-0.0108701206675648,PTB
Pex14,131,862,1993317.5,0.382007194643587,-0.019324302517568667,4065192,-1.6914177955349838,-1.7978353478012923,-5.888880257454344,-5.054519713174408,Naive_High,0.5982119637995824,,Pex14,Naive_High,0.0131392579476118,0.0392123308448765,0.7375649292346687,0.9998849800444912,0.0189559422819805,Pex14
REV1ctd,29,964,531181.0,0.21084080540142802,0.0555893388022448,1006416,0.9363386505029224,-1.8656261637804785,-5.368101268582874,-5.187945930558024,Naive_High,0.399601531364936,,REV1ctd,Naive_High,-0.0167391883774751,0.0718664613200607,0.8158229636570828,0.9998849800444912,-0.0241495440606896,REV1ctd
SH2,452,541,4114982.0,1.460112231112605e-05,-0.06511167818072436,8803152,-3.9444708293493056,0.021425164225673858,-5.612813373158778,-4.710639222519303,Naive_High,0.0006132471370672941,***,SH2,Naive_High,-0.0637114001126393,0.0276821589611178,0.0213615268969687,0.9998849800444912,-0.0919161209905973,SH2
SH3,231,762,3374907.0,0.0002319696111526134,0.06517840572958683,6336792,-0.003200420893677384,-2.323583338311493,-3.9409547721499667,-5.568609308315133,Naive_High,0.004546604378591223,**,SH3,Naive_High,0.0203983340144191,0.0330128640903057,0.5366475433116598,0.9998849800444912,0.0294285753249992,SH3
SUMO,105,888,1607900.5,0.08456161902782866,-0.04195832737499404,3356640,-4.387640202012418,-1.475909436721276,-5.955554250060736,-5.10923151601888,Naive_High,0.22397401796560024,,SUMO,Naive_High,-0.0005902609871823,0.0424875598028183,0.988915697167121,0.9998849800444912,-0.0008515665990382,SUMO
TRAF2like,45,948,840747.5,0.008324976119385584,0.09489438453925092,1535760,1.3239540137904655,-1.9313161726164216,-3.4398321050023872,-5.356839348026931,Naive_High,0.05207538253402898,,TRAF2like,Naive_High,0.0033874392159346,0.0683821650295273,0.9604914459603158,0.9998849800444912,0.0048870417581417,TRAF2like
TRAF4,32,961,617932.0,0.006024427749970903,0.1163357035495433,1107072,3.6826001853543624,-1.965819986421578,-2.2837903364825713,-5.2722669315501465,Naive_High,0.04268746583668341,*,TRAF4,Naive_High,0.0104958848071176,0.0731594997270381,0.8859223340116702,0.9998849800444912,0.0151423609609703,TRAF4
TRAF6,30,963,544749.5,0.2765325462254925,0.04755490173454867,1040040,-1.552395570474855,-1.7910051234740927,-3.4330473071402485,-5.25854431389045,Naive_High,0.4868297520376934,,TRAF6,Naive_High,-0.0068019216607559,0.0839330283150729,0.9354102454907156,0.9998849800444912,-0.0098130986484878,TRAF6
TRFH,11,982,174929.0,0.16040276640909945,-0.10032607130366805,388872,-7.362632825010025,-1.7213043176626137,-7.367709255163156,-5.169233180694249,Naive_High,0.35457453627274615,,TRFH,Naive_High,0.0034496714860709,0.1458415564790421,0.9811289522285846,0.9998849800444912,0.0049768239456505,TRFH
TYR,88,905,1223727.0,2.6973070118211804e-08,-0.146348150008371,2867040,-9.489681129480223,-1.0344948747243505,-6.919417444429589,-5.018248223106406,Naive_High,3.965041307377135e-06,***,TYR,Naive_High,-0.0285227134565088,0.0535885808636193,0.5945503851435456,0.9998849800444912,-0.0411495772564022,TYR
UBA3,92,901,1340543.0,8.288304559418442e-05,-0.10154645670135705,2984112,-5.035201898720571,-1.4517993633046662,-7.2718163457151235,-4.987826416767049,Naive_High,0.0020306346170575183,**,UBA3,Naive_High,-0.0263996146834787,0.0423203216316693,0.5327558659138449,0.9998849800444912,-0.0380865931852342,UBA3
USP7,449,544,4599764.5,0.002109297163892481,0.04620755364135261,8793216,-0.957631357378731,-2.465686252861666,-4.5703329528150665,-5.996420402446974,Naive_High,0.01879192018740574,*,USP7,Naive_High,-0.0061918652216338,0.0250043920402122,0.8044198421098194,0.9998849800444912,-0.008932973249104,USP7
WD40,534,459,4453632.0,0.5284896514586761,0.009457132832325606,8823816,-2.1702587191200498,-1.334186590435055,-4.922984855226172,-5.569411780485744,Naive_High,0.7160182374601418,,WD40,Naive_High,-0.0345760547946544,0.0258248807395504,0.1806142997365896,0.9998849800444912,-0.049882702785753,WD40
WRC,44,949,741597.0,0.7140706856020074,-0.013319443113963662,1503216,-3.9459829477363964,-1.683547472412429,-5.67750181337004,-5.166819362997503,Naive_High,0.8397471262679607,,WRC,Naive_High,-0.0036393661818008,0.0663521155229544,0.956258534671538,0.9998849800444912,-0.005250495542463,WRC
WW,254,739,3684061.5,1.3547822484656627e-07,0.09037581821216868,6757416,1.022752499976137,-2.748428871466489,-3.791820439192571,-5.942093074956151,Naive_High,1.3276866034963494e-05,***,WW,Naive_High,0.0011271428678909,0.034266184918269,0.9737593274031942,0.9998849800444912,0.0016261234258796,WW
deltaCOP1,14,979,253360.0,0.6708880478836782,0.026963049434959547,493416,-2.890990275007302,-1.767963163605408,-4.103664394407447,-5.217963965525554,Naive_High,0.8083651068762352,,deltaCOP1,Naive_High,-0.0025238714599048,0.1111740718230123,0.9818879971147574,0.9998849800444912,-0.0036411768390458,deltaCOP1
eIF4E,14,979,265388.0,0.23273800138734668,0.07571704200917684,493416,-1.8841438977696476,-1.7823613753330152,-5.0647082328797985,-5.2081242843962094,Naive_High,0.4276560775492495,,eIF4E,Naive_High,0.0017976537896264,0.1067876279105504,0.9865691139296772,0.9998849800444912,0.0025934662075293,eIF4E
14-3-3,393,600,4235137.0,0.8865569496182412,-0.0021824050513617943,8488800,-0.9519855610402979,-0.8687440165194396,-4.576559147202727,-4.569905275112214,Naive_Low,0.9297038077393421,,ELM_14_3_3,Naive_Low,0.0,0.0,,,0.0,14-3-3
ANK,16,977,290784.0,0.5736014870280449,0.03343568747867622,562752,-0.19581835882134838,-0.9132483537966828,-3.260752772665086,-4.618562711751274,Naive_Low,0.7461895450718815,,ANK,Naive_Low,0.0,0.0,,,0.0,ANK
APCC,38,955,615282.0,0.1363671275159393,-0.05807844217874529,1306440,-4.69292042000091,-0.7508332559586034,-4.679590282340204,-4.551167341521491,Naive_Low,0.3181899642038583,,APCC,Naive_Low,0.0,0.0,,,0.0,APCC
Actin,26,967,401720.0,0.016492149917385884,-0.11233084966280416,905112,-4.785405110507063,-0.797265979862789,-5.540506247776876,-4.533108325697693,Naive_Low,0.08081153459519083,,Actin,Naive_Low,0.0,0.0,,,0.0,Actin
Arc,147,846,2282928.5,0.34623899244493794,0.01984015302995377,4477032,-1.3472362876059325,-0.824270686905944,-3.994638444862133,-4.734049266000586,Naive_Low,0.5689687783561196,,Arc,Naive_Low,0.0,0.0,,,0.0,Arc
BIR,163,830,2305024.5,0.008112128205811177,-0.053463547441298935,4870440,-2.8307936190036243,-0.5228402114492893,-5.6883888710629655,-4.368392329887137,Naive_Low,0.05207538253402898,,BIR,Naive_Low,0.0,0.0,,,0.0,BIR
BRCT,103,890,1594048.0,0.1664753909073894,-0.03394543228731076,3300120,-1.8430946714847076,-0.7927393081321078,-5.063383875686641,-4.462185546025868,Naive_Low,0.36254640686498135,,BRCT,Naive_Low,0.0,0.0,,,0.0,BRCT
CDC14,12,981,218347.5,0.6565458455894153,0.030446539811983236,423792,-3.6070230524678837,-0.8685957785635944,-2.80106531198318,-4.598285378568077,Naive_Low,0.7943394181205271,,CDC14,Naive_Low,0.0,0.0,,,0.0,CDC14
CKS1,45,948,716192.5,0.061255672625658,-0.0673119497838204,1535760,-4.1008837639818125,-0.7498280232292395,-5.134222633901455,-4.53222434347597,Naive_Low,0.183250461277291,,CKS1,Naive_Low,0.0,0.0,,,0.0,CKS1
CSL,10,983,166269.0,0.4208573186896145,-0.06030857917938284,353880,-3.16184409645311,-0.878696128622553,-4.311138299351625,-4.586445732121443,Naive_Low,0.6215727703887928,,CSL,Naive_Low,0.0,0.0,,,0.0,CSL
CYCLIN,139,854,2124203.0,0.7860483972387825,-0.005852460888432111,4273416,-2.0689125832552504,-0.7117071268477997,-4.254483476260829,-4.626754808270391,Naive_Low,0.8687903337902333,,CYCLIN,Naive_Low,0.0,0.0,,,0.0,CYCLIN
Clathr,14,979,210583.0,0.02100996961198993,-0.14642816609108744,493416,-5.835689211651097,-0.8311308339503426,-8.062438890394777,-4.533108325697693,Naive_Low,0.09502970870653907,,Clathr,Naive_Low,0.0,0.0,,,0.0,Clathr
DLG,13,980,228052.0,0.9330661734064921,-0.005529391243676958,458640,-0.23925352326803173,-0.9104759587734861,-5.294696275147523,-4.55489599159991,Naive_Low,0.9525050520191274,,DLG,Naive_Low,0.0,0.0,,,0.0,DLG
EVH1,12,981,238427.0,0.06742529955198313,0.12520764903537585,423792,2.6191704900233157,-0.9447571674625693,-2.013022904119843,-4.618562711751274,Naive_Low,0.1906061352719523,,EVH1,Naive_Low,0.0,0.0,,,0.0,EVH1
FHA,402,591,4215112.5,0.34641296369301156,-0.014349080878742216,8552952,-1.7438051533796404,-0.32887828044312234,-4.632672657532448,-4.486273579292037,Naive_Low,0.5689687783561196,,FHA,Naive_Low,0.0,0.0,,,0.0,FHA
GBD,11,982,151710.0,0.0021078942441518744,-0.21974325742146517,388872,-7.425113545527188,-0.8286155665984741,-8.035234156549684,-4.476388940331303,Naive_Low,0.01879192018740574,*,GBD,Naive_Low,0.0,0.0,,,0.0,GBD
IRF7,17,976,317905.0,0.26372268525695397,0.06445207864566592,597312,-0.9341493124178427,-0.9011231527555301,-2.469907852301867,-4.598285378568077,Naive_Low,0.4699058755487543,,IRF7,Naive_Low,0.0,0.0,,,0.0,IRF7
Integrin,11,982,216848.0,0.10679522695076893,0.11526672015470386,388872,1.1283818288682896,-0.9244286512403787,-2.2095258885944267,-4.607449555427843,Naive_Low,0.25526664002866717,,Integrin,Naive_Low,0.0,0.0,,,0.0,Integrin
LIR,412,581,4201910.5,0.10259550892559598,-0.02478371646549211,8617392,-1.5210149385776333,-0.46251046593204104,-4.55104298996371,-4.594339823461102,Naive_Low,0.25120668233081656,,LIR,Naive_Low,0.0,0.0,,,0.0,LIR
LYPXL,12,981,192859.0,0.18943775832451726,-0.08984124287386265,423792,-5.644405764532317,-0.843673665877791,-4.731984132810098,-4.560360320394471,Naive_Low,0.39221620385498646,,LYPXL,Naive_Low,0.0,0.0,,,0.0,LYPXL
MAPK,271,722,3704325.5,0.002040849154278979,0.05179268897952138,7043832,0.039913631238356895,-1.2551154147729853,-3.564551673141331,-4.948841847724774,Naive_Low,0.01879192018740574,*,MAPK,Naive_Low,0.0,0.0,,,0.0,MAPK
MSH2,28,965,492693.0,0.7732488914009668,0.013021218850234394,972720,-0.368916077379139,-0.9171472385843367,-5.286768267856287,-4.540816267746348,Naive_Low,0.8644105565385074,,MSH2,Naive_Low,0.0,0.0,,,0.0,MSH2
MYND,25,968,415878.0,0.3430443274323435,-0.04527548209366391,871200,-3.6253500392069493,-0.8313460582854617,-5.852436323061152,-4.5297543817594335,Naive_Low,0.5689687783561196,,MYND,Naive_Low,0.0,0.0,,,0.0,MYND
NRBOX,26,967,417325.0,0.0965583918942496,-0.07784892919329321,905112,-2.938043703929944,-0.8469365037211193,-6.87433435096324,-4.4922148075193915,Naive_Low,0.24057768827889306,,NRBOX,Naive_Low,0.0,0.0,,,0.0,NRBOX
NRP,32,961,592995.0,0.0923957583673754,0.07128533645508152,1107072,0.007045213612796901,-0.931948160495432,-2.9310900629003944,-4.635715614440436,Naive_Low,0.23226520813404058,,NRP,Naive_Low,0.0,0.0,,,0.0,NRP
PCNA,35,958,571834.0,0.1953194668952326,-0.05253338635384564,1207080,-2.7637720367107503,-0.8336583654651615,-5.416070775058591,-4.524351253910342,Naive_Low,0.3947472205267471,,PCNA,Naive_Low,0.0,0.0,,,0.0,PCNA
PDZ,207,786,2891833.5,0.4949973423231294,-0.012566430242611237,5857272,-1.58549322115083,-0.7216025936670216,-4.540816267746348,-4.589109756329055,Naive_Low,0.6897119366966826,,PDZ,Naive_Low,0.0,0.0,,,0.0,PDZ
PP1,77,916,1204222.5,0.06570152359352924,-0.051476634718992796,2539152,-2.3264383706514726,-0.7819224681881412,-5.284159255521724,-4.489860128249504,Naive_Low,0.18753638773298636,,PP1,Naive_Low,0.0,0.0,,,0.0,PP1
PP2A,56,937,1030106.5,0.00518671201908616,0.09064146380715217,1888992,1.8895186374066668,-1.0685056340397803,-3.0569626040665154,-4.747657114513449,Naive_Low,0.039099829066957206,*,PP2A,Naive_Low,0.0,0.0,,,0.0,PP2A
PP2B,32,961,534476.0,0.41628572257202934,-0.034433171464909235,1107072,-3.0167149877340798,-0.8312610362050052,-3.5418071890585763,-4.623432875348919,Naive_Low,0.6212588956151097,,PP2B,Naive_Low,0.0,0.0,,,0.0,PP2B
PP4,66,927,1102893.5,0.9610041924140736,0.0014687507945328874,2202552,-1.2010648052344897,-0.8803737413754309,-4.474136750251441,-4.586445732121443,Naive_Low,0.9675864129100605,,PP4,Naive_Low,0.0,0.0,,,0.0,PP4
PTB,46,947,819687.0,0.20243544399245617,0.04536446138071408,1568232,0.059168875767721583,-0.9483616723187075,-4.177611788069464,-4.623432875348919,Naive_Low,0.3967734702252141,,PTB,Naive_Low,0.0,0.0,,,0.0,PTB
Pex14,131,862,1956858.5,0.0918601711668069,-0.03726146268122145,4065192,-1.4755207341001244,-0.8144820408739958,-5.522812193038856,-4.335120916405877,Naive_Low,0.23226520813404058,,Pex14,Naive_Low,0.0,0.0,,,0.0,Pex14
REV1ctd,29,964,550301.0,0.035158650568581695,0.0935855550786156,1006416,2.2876596943192196,-0.9976336789790021,-4.216541418858364,-4.58823646724214,Naive_Low,0.1308435856602914,,REV1ctd,Naive_Low,0.0,0.0,,,0.0,REV1ctd
