ELM,tsubset,cliff_delta,pvalue,qvalue
TYR,EM,-0.0657898041185334,0.00024435710745573935,0.0019955830442218714
UBA3,Naive,-0.06186832129625161,0.0003663326867842098,0.002564328807489469
UBA3,CM,-0.040927250719812125,0.06510091235652249,0.14499748661225464
UBA3,EM,-0.067175427731935,0.0005876901677477342,0.003756106724300736
USP7,Naive,0.033657822121053324,0.0030386667887294383,0.01654385251641583
USP7,CM,0.021552524127691167,0.08304559905145237,0.173646885701612
USP7,EM,0.04586848543240607,6.620808141455381e-05,0.0007163855626532989
WD40,Naive,0.0007501289691444158,0.6787918639507355,0.798259232006065
WD40,CM,0.007956704899558194,0.059093145457630336,0.13364142126571782
WD40,EM,0.038328428425978056,6.822719644317132e-05,0.0007163855626532989
WRC,Naive,-0.01263757171291418,0.8664964034465517,0.916366700047792
WRC,CM,-0.047657821630424375,0.11498255152780168,0.21951214382580322
WRC,EM,0.055230253004225606,0.0780387472664088,0.16625646156756657
WW,Naive,0.05788684609620009,3.5262474107344843e-07,1.295895923444923e-05
WW,CM,0.05551626538901852,1.8693147038617575e-05,0.00034348657683459793
WW,EM,0.09824043687705478,7.771561172376096e-16,1.142419492339286e-13
deltaCOP1,Naive,-0.0017307910566337539,0.7875674496049823,0.8704692864055067
deltaCOP1,CM,0.12282131102355821,0.015991225980504842,0.050015111045408754
deltaCOP1,EM,0.015512265512265514,0.7020185033755948,0.8125725983953735
eIF4E,Naive,0.12391369554290903,0.011602315247785544,0.03790089647609944
eIF4E,CM,0.028712080678372814,0.7622857483184439,0.8636271452947742
eIF4E,EM,0.0687796909707022,0.26927383592385845,0.4080747822763628
